symbol,Keywords
ACHN,ACH-4471 Therapeutics automating development activities Corporation intellectual well-tolerated CHEM-ACH interface odalasvir nonstructural alternative ribavirin ACH-3422 cumbersome complement inhibitor Repository ChemoCentryx hepatitis application biopharmaceutical treatment preclinical development identification immune-related development accessing Achillion scientific combination competitive information ComplementWiki available information inhibition Competitive Intelligence Achillion Automated Acquisition Automated Chemistry Genentech complement alternative sovaprevir infectious Preclinical biological discovery 
SLCA,fracturing Specialty ProductsAs Proppants glassmaking low-iron conventional container fiberglass Commercial Specialty ProppantsIn Corporation five-micron November Hi-Crush unconventional commercial specialty precision architectural filtration manufacturing irreplaceable building selective adsorbent recreation Industrial Fairmount December industrial applications connection materials preparative magnesium analytical 
ROYT,turbidite sandstone long-lived reservoir Overlying Underlying Properties Production waterflood injection Remaining conventional Developed Properties additional hydraulic Breitburn Operating California non-producing non-operated Petroleum Institute unconventional equivalent Freeport waterflood statutory dolomitic formation Properties attributable Diatomite formation producing properties development potential acquiring progressive multiple geologic Sawtelle Conventional production formation producing electric submersible BasinThe Diatomite oilfield silica-rich 
SFLY,Vistaprint Pinterest personalized photo-based Snapfish Minnesota thoughtful BorrowLenses Publishing Solutions Invitations CVS/pharmacy photo-based merchandise Everalbum Cameralends Hewlett-Packard LensProToGo sponsorship Remebered equipment production Facebook statement stationery personalized application subscription PaperSource Solutions keepsake marketing Greetings invitations Wal-Mart MyPublisher Teespring photographic Microsoft manufacturer Paperless Hallmark Donnelley Walgreens CustomInk Groovebook CafePress Snapchat PicCollage Creations advertising Personalization Quad/Graphics Shutterfly 
FOSL,Internationally BURBERRY EMPORIO accessories cosmetic distributor principal Company-owned Australia Raymond Singapore stainless MICHELE sourcing location FOSSIL department European corporate Claiborne development independent EXCHANGE marketing Indonesia MICHAEL specialty collection Americas integrate international Company-owned e-commerce ultraviolet Armitron semi-precious man-made JACOBS lifestyle wholesale commercial Websites finished LAGERFELD Malaysia third-party distributors affiliate December distribution physical presence consumer 
NBR,Weatherford International Electromagnetic repetitive silicon-controlled rectifier DRILLSMART performance engineering measurement PACE-M800 International technology Patterson-UTI instrumentation directional disposal integration equipment mitigation maintenance equipment manufacturing PACE-M1000 evaluation integrated available AccuSteer Measurement transportation third-party collection construction penetration well-site higher-density international integrated geosteering land-based placement Precision AccuWave Rigtelligent lower-density multi-well optimization exploration drilling-related equipment Helmerich RIGWATCH Technology 
DEPO,Therapeutics diclofenac potassium refractory gastroesophageal breakthrough peripheral neuropathy portfolio management NUCYNTA Mallinckrodt specialty pharmaceutical postherpetic neuralgia treatment evaluation tapentadol collaboration milestone underlying persistent neuropathic gastroretentive Ironwood Collegium Pharmaceutical once-daily gabapentin 
VVUS,available medication Pharmaceutical dyslipidemia phosphodiesterase Commission Therapeutics STENDRA AstraZeneca formulation International reduced-calorie dysfunction management commercialization biopharmaceutical treatment marketing GlaxoSmithKline Association development commercial Avanafil overweight Australia topiramate Boehringer Ingelheim hypertension Obstructive Application weight-related comorbidity indication Supplemental cholesterol phentermine therapeutic 
TSLA,intermittency manufacture all-wheel industrial financial generation residential applications portfolio five-adult passenger bi-directional capacity electricity residential commercial facility reduction 14-kilowatt Powerwall renewable generation functionality electrical grid-scale autopilot performance transmission infrastructure Mitsubishi gigawatt integrated independence development rechargeable lithium-ion four-door automotive commercial utilities wholesale self-consumption Sungevity interface monitoring manufacturing provision installation December tailpipe compatible grid-scale applications convenience over-the-air Powerpack components all-electric production megawatt stationary 
GEOS,application industrial four-component reservoir ocean-going Corporation Petroleum Equipment ProductsThe Alcatel-Lucent hydrocarbon information Non-Seismic subsurface Geosolutions telemetry environment equipment multi-component electronic pre-press electrical communication construction industries subsequent processing high-definition reservoir architecture non-seismic commercial reservoir monitoring omni-directional Geophysical specialty industrial marine-based three-component land-based Hydrophones transmission traditional exploration flexographic acquisition FairfieldNodal reservoir-monitoring special-purpose retrieval ocean-bottom 
OCLR,modulating feedback application virtualization Corporation client-side NeoPhotonic
